guid,make,model,vehicle-type,seller-type,price,fuel-type,mileage,year,img-url,zip-code,distance,reg-age,listing-age
cd45d065-c768-4381-bbe1-f51bede0ef78,Toyota,Avensis,Berline,Dealer,1850,b,140432,09-1998,https://prod.pictures.autoscout24.net/listing-images/cd45d065-c768-4381-bbe1-f51bede0ef78_f660633f-a952-49b6-9d0d-62c589b9ce7c.jpg/250x188.webp,1730,61.98157406185932,8870,13
e29e682d-02c4-4ab1-9c0c-7fbdc34633aa,Toyota,Corolla,Berline,Dealer,1850,b,180141,11-1995,https://prod.pictures.autoscout24.net/listing-images/e29e682d-02c4-4ab1-9c0c-7fbdc34633aa_85a469fa-a938-4b95-8e53-e5d5e94f253f.jpg/250x188.webp,9280,57.52425726435139,9905,20
667ff9b5-2680-48f9-9dd9-a597dc3fe32c,Toyota,Avensis,Berline,Dealer,1850,b,135896,09-2001,https://prod.pictures.autoscout24.net/listing-images/667ff9b5-2680-48f9-9dd9-a597dc3fe32c_9b9c0a3f-7644-47b0-8772-5167958705a1.jpg/250x188.webp,1730,61.98157406185932,7774,50
b9510a6c-3e8a-4b27-ac07-82cd2ca173c8,Toyota,Avensis,Break,Dealer,1899,b,129000,06-2002,https://prod.pictures.autoscout24.net/listing-images/b9510a6c-3e8a-4b27-ac07-82cd2ca173c8_ee00b24b-7574-4c2f-8a5f-102c071e8a7a.jpg/250x188.webp,1080,69.57979227671277,7501,32
3241f303-ffab-4775-9108-98dac6481b31,Toyota,Avensis,Berline,Dealer,1900,b,160000,12-2001,https://prod.pictures.autoscout24.net/listing-images/3241f303-ffab-4775-9108-98dac6481b31_c74c4f3f-d8f4-491d-bf14-e464ee467919.jpg/250x188.webp,1080,69.57979227671277,7683,4
03382f26-147f-4c31-a3e1-3ea88408cbc6,Toyota,Corolla,Berline,Dealer,1900,b,190000,12-1999,https://prod.pictures.autoscout24.net/listing-images/03382f26-147f-4c31-a3e1-3ea88408cbc6_0e8b2dde-fa1a-4f1f-9624-cd610062945d.jpg/250x188.webp,1600,78.61296004280759,8414,7
d069418a-562a-4198-b0dc-32d8291e5025,Toyota,Corolla,Berline,Dealer,1900,b,190000,12-2001,https://prod.pictures.autoscout24.net/listing-images/d069418a-562a-4198-b0dc-32d8291e5025_55c3255a-d443-45ba-9367-487092edf430.jpg/250x188.webp,1070,71.06367211068877,7683,8
d7e13516-0557-46da-8f6f-7662db54adaa,Toyota,RAV 4,Andere,Dealer,1900,b,190000,12-1997,https://prod.pictures.autoscout24.net/listing-images/d7e13516-0557-46da-8f6f-7662db54adaa_8e08efc0-e47a-4120-bc08-ab7a3a6e5d37.jpg/250x188.webp,1070,71.06367211068877,9144,8
75cd1e5a-25e6-450a-a3fe-bea8cd3ad9c5,Toyota,Yaris,Berline,Dealer,1900,b,170000,02-2004,https://prod.pictures.autoscout24.net/listing-images/75cd1e5a-25e6-450a-a3fe-bea8cd3ad9c5_16f8395e-d173-47f1-9cdc-0fdb25c5e4d4.jpg/250x188.webp,1080,69.57979227671277,6891,13
44861d93-e981-4f91-bdfa-c4ba7e488e61,Toyota,Avensis,Berline,Dealer,1900,b,124313,03-2002,https://prod.pictures.autoscout24.net/listing-images/44861d93-e981-4f91-bdfa-c4ba7e488e61_adfd22dc-32a2-49e2-b3f6-51cf94f165d8.jpg/250x188.webp,1730,61.98157406185932,7593,13
221c9d90-b202-49d6-8147-e17ffd343cf7,Toyota,Avensis,Break,Dealer,1900,b,170000,07-2001,https://prod.pictures.autoscout24.net/listing-images/221c9d90-b202-49d6-8147-e17ffd343cf7_3a194d35-e3c8-4c5e-90aa-c823b8d1b3a7.jpg/250x188.webp,1410,83.89428081314767,7836,378
3ed663a0-753e-4420-bb33-1a24c5e4f8c6,Toyota,Yaris,Monovolume,Dealer,1950,d,152673,06-2002,https://prod.pictures.autoscout24.net/listing-images/3ed663a0-753e-4420-bb33-1a24c5e4f8c6_13db92a1-2339-4fb0-b72c-2ff1bd22cbd0.jpg/250x188.webp,1080,69.57979227671277,7501,4
e76880ef-adb3-415e-853c-1a220da44ec6,Toyota,Corolla,Break,Dealer,1950,d,158220,11-2002,https://prod.pictures.autoscout24.net/listing-images/e76880ef-adb3-415e-853c-1a220da44ec6_a4246938-deb9-484f-810b-5d116aac9557.jpg/250x188.webp,1790,66.85097420004841,7348,7
