guid,make,model,vehicle-type,seller-type,price,fuel-type,mileage,year,img-url,zip-code,distance,reg-age,listing-age
4d682ee3-a6b4-4910-a4dd-02202865633c,Nissan,Pixo,Berline,Dealer,1650,b,185546,06-2010,https://prod.pictures.autoscout24.net/listing-images/4d682ee3-a6b4-4910-a4dd-02202865633c_25b1e69a-f8f7-4fed-b6ab-a6fff732c991.jpg/250x188.webp,1300,83.88957347991013,4573,3
bbcd3763-24bb-4e64-9461-36c022ced9c5,Nissan,Primera,Break,PrivateSeller,1650,d,212000,08-2004,https://prod.pictures.autoscout24.net/listing-images/bbcd3763-24bb-4e64-9461-36c022ced9c5_3c36a755-615c-4eac-859d-d5f8ebd5e118.jpg/250x188.webp,4000,118.53949006185148,6703,112
788f776f-be13-45b8-8f00-7abac719e70a,Nissan,Micra,Berline,Dealer,1700,b,240000,11-2007,https://prod.pictures.autoscout24.net/listing-images/788f776f-be13-45b8-8f00-7abac719e70a_8f436917-0069-4609-8d31-20207a95fe22.jpg/250x188.webp,1840,54.29299877782283,5516,12
0c4705d5-224e-4e43-93f6-997bdc31ef07,Nissan,Almera Tino,Andere,Dealer,1700,b,204000,05-2003,https://prod.pictures.autoscout24.net/listing-images/0c4705d5-224e-4e43-93f6-997bdc31ef07_215860f5-5219-4530-961e-69212929b36c.jpg/250x188.webp,1780,63.273818071645216,7161,52
e50fc535-3610-4e81-8550-1bef3759b393,Nissan,Primera,Berline,Dealer,1750,b,115000,08-1998,https://prod.pictures.autoscout24.net/listing-images/e50fc535-3610-4e81-8550-1bef3759b393_d5241126-f4a7-4627-8810-005e90d964e3.jpg/250x188.webp,1700,70.90697373704198,8895,9
22514895-2ce5-4626-adfa-586cecd16ec0,Nissan,Micra,Berline,Dealer,1750,b,144000,10-1999,https://prod.pictures.autoscout24.net/listing-images/22514895-2ce5-4626-adfa-586cecd16ec0_b7ecc1e9-6d3a-4f1f-9be0-b7991cd8fac8.jpg/250x188.webp,9860,75.70525305366282,8469,21
25ab4401-5177-43af-b1d9-554748f127cf,Nissan,Primera,Andere,PrivateSeller,1750,d,211307,10-1998,https://prod.pictures.autoscout24.net/listing-images/25ab4401-5177-43af-b1d9-554748f127cf_ddc4b0d6-df7b-4292-b5d6-d17361ac3889.jpg/250x188.webp,3670,86.86151890486535,8834,36
7195219b-9d45-4006-8843-aa8e933c9582,Nissan,Note,Monovolume,PrivateSeller,1750,b,216000,10-2006,https://prod.pictures.autoscout24.net/listing-images/7195219b-9d45-4006-8843-aa8e933c9582_0767a140-f411-4df9-9e25-4cfb2421ce37.jpg/250x188.webp,4460,114.8668906662163,5912,53
e5b78be4-0cff-439f-a994-778fb05a3495,Nissan,Micra,Cabriolet,Dealer,1800,b,154000,08-2006,https://prod.pictures.autoscout24.net/listing-images/e5b78be4-0cff-439f-a994-778fb05a3495_6d33308d-feed-444b-bc53-a6b23a88bb82.jpg/250x188.webp,1703,72.53884447632319,5973,2
a1e54ffb-c832-451a-9c47-559b7e84b334,Nissan,Primera,Berline,Dealer,1800,b,155000,12-2002,https://prod.pictures.autoscout24.net/listing-images/a1e54ffb-c832-451a-9c47-559b7e84b334_3841a53b-dbff-4a4b-94b5-acc4f63d2284.jpg/250x188.webp,1080,69.57979227671277,7312,7
