guid,make,model,vehicle-type,seller-type,price,zip-code,fuel-type,mileage,year,distance,age,img-url
e9d499bc-6282-40ff-b750-e1f5596d67dc,bmw,316,c,d,11200,8792,d,129700,04-2012,100.82523021919492,3893,https://prod.pictures.autoscout24.net/listing-images/e9d499bc-6282-40ff-b750-e1f5596d67dc_5eab73b8-2434-4659-8c56-dd231363261d.jpg/480x360.jpg
4db5d293-ff05-4db6-99ec-54e7858acb47,bmw,118,c,p,15000,3600,b,99000,12-2017,91.05707630102727,1823,https://prod.pictures.autoscout24.net/listing-images/4db5d293-ff05-4db6-99ec-54e7858acb47_b3624e01-d38b-4632-b431-b5251f2cdc2c.jpg/480x360.jpg
73da239b-52d4-46e2-a37b-f5c22db860d3,bmw,316,c,d,11990,7380,d,156573,12-2014,129.95614046754844,2919,https://prod.pictures.autoscout24.net/listing-images/73da239b-52d4-46e2-a37b-f5c22db860d3_518f34a8-abe7-47ec-8a9b-2faf35860c25.jpg/480x360.jpg
c124cada-3142-48e3-9589-a2111ac6e648,bmw,520,c,d,13899,3530,d,128000,08-2010,79.7065029526959,4502,https://prod.pictures.autoscout24.net/listing-images/c124cada-3142-48e3-9589-a2111ac6e648_be8d9769-93ec-444c-890a-6a24e77aaafb.jpg/480x360.jpg
84dca9aa-ee14-43b6-96fb-f65bdd958203,bmw,320,c,p,11250,2630,b,168000,08-2007,37.55427282853161,5598,https://prod.pictures.autoscout24.net/listing-images/84dca9aa-ee14-43b6-96fb-f65bdd958203_768d93c6-b985-4c89-81d7-45cd38ac041e.jpg/480x360.jpg
cb13ff07-5e6c-420b-9721-c8e6b0d1a00a,bmw,x1,c,d,10400,9140,d,125612,06-2010,42.211874657394915,4563,https://prod.pictures.autoscout24.net/listing-images/cb13ff07-5e6c-420b-9721-c8e6b0d1a00a_d66a4ca7-2efe-4e2d-9d77-71b4b998173c.jpg/480x360.jpg
e0b17524-049c-4713-b8a1-1b24b75fbb04,bmw,316,c,p,10500,3581,d,146000,09-2016,67.20468804740364,2279,https://prod.pictures.autoscout24.net/listing-images/e0b17524-049c-4713-b8a1-1b24b75fbb04_2d5ecc87-fb04-4a7d-a512-7dddceeefa67.jpg/480x360.jpg
d10b4fc8-e93a-4846-9283-18506bba74f7,bmw,116,c,p,15000,1730,b,65500,01-2015,61.98157406185932,2888,https://prod.pictures.autoscout24.net/listing-images/d10b4fc8-e93a-4846-9283-18506bba74f7_b78c1cfc-ec8c-485b-8da7-432aa8fe2ab3.jpg/480x360.jpg
86a012ce-3629-4b62-bc81-193ae579898f,bmw,320,c,d,10500,2160,d,213000,07-2011,29.52364933489528,4168,https://prod.pictures.autoscout24.net/listing-images/86a012ce-3629-4b62-bc81-193ae579898f_801cf01e-b934-4852-b0c7-71c027807055.jpg/480x360.jpg
45f91e18-8536-4f3a-9ed9-9033933fa19d,bmw,520,c,d,10500,1130,d,169000,01-2012,63.740079129249956,3984,https://prod.pictures.autoscout24.net/listing-images/45f91e18-8536-4f3a-9ed9-9033933fa19d_a0508309-132e-4d2d-8345-62876122fd7c.jpg/480x360.jpg
707a6250-0497-4a30-8896-a46e71635ba6,bmw,520,c,d,12990,5660,d,135000,03-2011,157.35260445614983,4290,https://prod.pictures.autoscout24.net/listing-images/707a6250-0497-4a30-8896-a46e71635ba6_414951d4-b2b1-446c-8be3-c5570d9e2bff.jpg/480x360.jpg
76cc4c96-2f07-4fc2-987f-b4851492825e,bmw,320,c,p,14900,6042,d,180000,10-2012,115.26230394846887,3710,https://prod.pictures.autoscout24.net/listing-images/76cc4c96-2f07-4fc2-987f-b4851492825e_43b68d0c-118f-4116-8311-e70b169b4079.jpg/480x360.jpg
d7809618-7ee3-4bda-ad78-fadad4ac0329,bmw,318,c,p,14900,7390,d,177220,03-2015,121.56764290915724,2829,https://prod.pictures.autoscout24.net/listing-images/d7809618-7ee3-4bda-ad78-fadad4ac0329_4f4fdfb2-36eb-4fa2-98a0-f9c07e793547.jpg/480x360.jpg
6a3e5599-b148-4bb3-8609-152f8944a3a9,bmw,318,c,d,13900,2160,d,172000,09-2013,29.52364933489528,3375,https://prod.pictures.autoscout24.net/listing-images/6a3e5599-b148-4bb3-8609-152f8944a3a9_3f0e1e5c-4c9f-4e7b-99dc-89abba8d61af.jpg/480x360.jpg
8f0960be-604f-492d-a4a2-552e3d22dbf6,bmw,x1,c,d,14990,4040,d,125000,09-2014,120.39133917274062,3010,https://prod.pictures.autoscout24.net/listing-images/8f0960be-604f-492d-a4a2-552e3d22dbf6_0a0ca7a3-022e-4d21-9640-8d75b230a71a.jpg/480x360.jpg
b2764495-1ce5-4c2e-ad55-91a30cfd4133,bmw,318,c,p,15000,1180,d,158000,02-2016,74.57281408996285,2492,https://prod.pictures.autoscout24.net/listing-images/b2764495-1ce5-4c2e-ad55-91a30cfd4133_18bf931a-31b5-4029-b5d4-c02f33e22320.jpg/480x360.jpg
c8edbe30-8588-4d52-9b37-ba59373f154c,bmw,320,c,d,14990,8020,d,166685,03-2014,94.86128126264425,3194,https://prod.pictures.autoscout24.net/listing-images/c8edbe30-8588-4d52-9b37-ba59373f154c_567875dd-8875-42db-a0f6-463fdaf5ca5f.jpg/480x360.jpg
c4b6e4e7-7b3f-4cd0-87be-8421432a76a3,bmw,z4,c,d,11450,6200,b,126000,06-2007,119.77990387531518,5659,https://prod.pictures.autoscout24.net/listing-images/c4b6e4e7-7b3f-4cd0-87be-8421432a76a3_d509f3ac-3351-48e6-976a-e95896e490e1.jpg/480x360.jpg
0e132ba1-f71d-4f49-9b1e-f6d7e06de365,bmw,x1,c,d,14900,6250,d,91000,01-2012,115.60596353389253,3984,https://prod.pictures.autoscout24.net/listing-images/0e132ba1-f71d-4f49-9b1e-f6d7e06de365_e1b47a8f-ff58-4d1a-9a67-16da83eaf53b.jpg/480x360.jpg
d5c794ec-77a6-4852-90f1-d8a3c3eac3df,bmw,318,c,p,15000,5000,d,110000,12-2014,115.13665852422378,2919,https://prod.pictures.autoscout24.net/listing-images/d5c794ec-77a6-4852-90f1-d8a3c3eac3df_43d619a9-b613-458b-93bc-420a6a4d3a66.jpg/480x360.jpg
3717e304-af95-496a-b578-9873c892f0cd,bmw,520,c,d,13950,8870,d,183017,03-2013,106.40718302751253,3559,https://prod.pictures.autoscout24.net/listing-images/3717e304-af95-496a-b578-9873c892f0cd_45384bd2-c5f0-4a32-81de-6ea9d70636d8.jpg/480x360.jpg
29ccf69a-2877-4df3-acfd-e99972c2f74b,bmw,335,c,d,12950,4540,b,250000,05-2007,117.22161404327316,5690,https://prod.pictures.autoscout24.net/listing-images/29ccf69a-2877-4df3-acfd-e99972c2f74b_4f44abae-6e79-438b-8c57-c368c89ad3a7.jpg/480x360.jpg
ba4c4f0c-236a-4b42-86da-9e5caa5f40bf,bmw,316,c,d,11999,6030,d,210000,09-2015,118.28038734858286,2645,https://prod.pictures.autoscout24.net/listing-images/ba4c4f0c-236a-4b42-86da-9e5caa5f40bf_3d5b6a08-a6f8-47e2-9df1-09b5166aa631.jpg/480x360.jpg
645167c9-b830-471a-bdc5-5c5168529614,bmw,520,c,p,13500,4000,d,150000,10-2013,118.53949006185148,3345,https://prod.pictures.autoscout24.net/listing-images/645167c9-b830-471a-bdc5-5c5168529614_a9f5c3af-c725-4a36-a170-fe448512ee68.jpg/480x360.jpg
bafb8fb1-de84-443c-b614-325d68a128ca,bmw,520,c,p,11800,8800,d,175300,09-2011,107.24415982689398,4106,https://prod.pictures.autoscout24.net/listing-images/bafb8fb1-de84-443c-b614-325d68a128ca_ea15a2f1-9f89-4f6a-8639-f97afe6c0fdc.jpg/480x360.jpg
6a6455bd-6e3d-4f2d-a26c-8e7817086432,bmw,316,c,p,14250,2440,b,115000,12-2014,49.365434961335374,2919,https://prod.pictures.autoscout24.net/listing-images/6a6455bd-6e3d-4f2d-a26c-8e7817086432_f6865aca-70a1-4f44-9ea2-6b606cfed10d.jpg/480x360.jpg
c8be1c6d-a0f1-4dc4-9cf1-71babb895bb1,bmw,518,c,d,13990,3600,d,194000,10-2014,91.05707630102727,2980,https://prod.pictures.autoscout24.net/listing-images/c8be1c6d-a0f1-4dc4-9cf1-71babb895bb1_53b39741-ae10-479e-a30c-01fdc3053d3b.jpg/480x360.jpg
0fbfa8cc-a253-43d3-9ff4-a207cfe1f6d7,bmw,320,c,d,13000,9870,b,143073,06-2007,92.66676027439331,5659,https://prod.pictures.autoscout24.net/listing-images/0fbfa8cc-a253-43d3-9ff4-a207cfe1f6d7_b4e90a35-ab22-4188-8c6f-abcd6dfcb822.jpg/480x360.jpg
5cdd6a30-1dfa-4831-98ad-c45399cfd58e,bmw,520,c,d,14500,4520,d,190000,12-2012,112.57318942534252,3649,https://prod.pictures.autoscout24.net/listing-images/5cdd6a30-1dfa-4831-98ad-c45399cfd58e_6dc3c826-7103-424e-a1c1-f3703165884e.jpg/480x360.jpg
da7c6de9-1bd9-406a-8993-70feef13db01,bmw,320,c,d,13990,4020,d,154500,08-2014,121.60247278825214,3041,https://prod.pictures.autoscout24.net/listing-images/da7c6de9-1bd9-406a-8993-70feef13db01_af45fa44-fc30-4fef-82c0-a4ad6dc60763.jpg/480x360.jpg
9c91a2b6-53dd-4bbf-951b-c9a72e7eb65e,bmw,320,c,p,12000,5640,d,130000,04-2012,127.88750807473824,3893,https://prod.pictures.autoscout24.net/listing-images/9c91a2b6-53dd-4bbf-951b-c9a72e7eb65e_f778223e-86d7-4b23-88fa-61ff5cfdd9fc.jpg/480x360.jpg
7fd8ef8a-503c-4648-b2cc-afc1e43a3714,bmw,316,c,d,12990,5060,d,174500,11-2012,116.00750129472273,3679,https://prod.pictures.autoscout24.net/listing-images/7fd8ef8a-503c-4648-b2cc-afc1e43a3714_8ea7b579-8296-445e-9060-8382db32b95c.jpg/480x360.jpg
6cb8ca00-fbb4-4a36-9743-d53bade76f31,bmw,120,c,p,11500,8610,d,115500,05-2013,114.33371950925998,3498,https://prod.pictures.autoscout24.net/listing-images/6cb8ca00-fbb4-4a36-9743-d53bade76f31_66958d41-db4a-47b1-b2fc-8a5d89d9ef55.jpg/480x360.jpg
2139e814-5006-4aaf-bfd9-8fabd2ee2392,bmw,318,c,d,13990,1315,d,158000,04-2014,85.40551029135231,3163,https://prod.pictures.autoscout24.net/listing-images/2139e814-5006-4aaf-bfd9-8fabd2ee2392_8c0a3b5d-af72-4441-afb8-898965c70c06.jpg/480x360.jpg
2b24c316-f85f-430e-855b-bba565538d31,bmw,316,c,p,11490,3350,d,147000,10-2013,84.73435223131183,3345,https://prod.pictures.autoscout24.net/listing-images/2b24c316-f85f-430e-855b-bba565538d31_e509cfa7-460c-403c-9c8e-703af7ea1ea3.jpg/480x360.jpg
413412a1-845e-4f0b-aa53-f0f85d4ec15c,bmw,520,c,p,13500,2800,d,134000,10-2010,49.170515286575046,4441,https://prod.pictures.autoscout24.net/listing-images/413412a1-845e-4f0b-aa53-f0f85d4ec15c_4f3593a6-c477-41e6-87d3-421a0f2236af.jpg/480x360.jpg
e85b6de0-a07d-42fc-9cf8-426aba4d40ac,bmw,116,c,d,12990,8530,b,84000,07-2015,105.8653486907627,2707,https://prod.pictures.autoscout24.net/listing-images/e85b6de0-a07d-42fc-9cf8-426aba4d40ac_9ada2ebc-ebfd-4f8c-8321-721b920a42b9.jpg/480x360.jpg
6d29223e-d1a5-4816-bc15-8eb0daf03e90,bmw,525,c,d,11950,2380,d,160495,08-2012,37.78558223701299,3771,https://prod.pictures.autoscout24.net/listing-images/6d29223e-d1a5-4816-bc15-8eb0daf03e90_daa5a6b9-0c2d-4950-830a-73af33ad133a.jpg/480x360.jpg
50321cef-13cf-41c7-aa91-69ee0e291f06,bmw,x1,c,d,12490,5060,d,148500,08-2014,116.00750129472273,3041,https://prod.pictures.autoscout24.net/listing-images/50321cef-13cf-41c7-aa91-69ee0e291f06_3cbd856b-4267-4d2e-89bf-5fa574820a60.jpg/480x360.jpg
a3066ce5-760a-49c3-84b5-e60cb02a39a7,bmw,318,c,d,13990,5660,d,174000,11-2016,157.35260445614983,2218,https://prod.pictures.autoscout24.net/listing-images/a3066ce5-760a-49c3-84b5-e60cb02a39a7_fa8b3a09-2110-4ec2-b83a-c616215c6ccd.jpg/480x360.jpg
6e7d7d8b-22bc-4dba-9659-9fd2ab14535c,bmw,318,c,d,14999,7100,d,156000,02-2015,111.04432979756132,2857,https://prod.pictures.autoscout24.net/listing-images/6e7d7d8b-22bc-4dba-9659-9fd2ab14535c_147b5cc6-b37a-44c9-aa02-43d15c445dce.jpg/480x360.jpg
eab2c596-86bc-4609-8642-1abb10438333,bmw,118,c,d,12995,3128,d,154506,06-2014,56.1320271449759,3102,https://prod.pictures.autoscout24.net/listing-images/eab2c596-86bc-4609-8642-1abb10438333_ef5e1d7b-c4d2-425f-b2c2-e812b9003f37.jpg/480x360.jpg
8c3951f8-d624-478c-960a-89150dfcac9a,bmw,320,c,d,14950,4040,d,172000,12-2012,120.39133917274062,3649,https://prod.pictures.autoscout24.net/listing-images/8c3951f8-d624-478c-960a-89150dfcac9a_b26571c5-2a62-4d46-88c8-0c1431f8823d.jpg/480x360.jpg
981b00ac-d84f-4fca-aa22-ebee196bea42,bmw,320,c,d,13000,4000,d,122320,03-2011,118.53949006185148,4290,https://prod.pictures.autoscout24.net/listing-images/981b00ac-d84f-4fca-aa22-ebee196bea42_28c0c70b-8a15-4a19-929f-e8b337e80ccc.jpg/480x360.jpg
