guid,make,model,vehicle-type,seller-type,price,zip-code,fuel-type,mileage,year,distance,age,img-url
2e1a2973-7a0c-4455-94b1-64a85c9f7a79,volvo,v40,c,d,11490,9940,d,103552,06-2014,62.66558746753047,3102,https://prod.pictures.autoscout24.net/listing-images/2e1a2973-7a0c-4455-94b1-64a85c9f7a79_2abdb6a6-1ae6-450b-ba38-c630229ccb5b.jpg/480x360.jpg
73dac5fc-78b8-43bc-8ead-3dbbed55789c,volvo,v90,c,d,30490,8800,d,34685,02-2018,107.24415982689398,1761,https://prod.pictures.autoscout24.net/listing-images/73dac5fc-78b8-43bc-8ead-3dbbed55789c_7700152b-02ff-4e80-b0aa-c40103186d1d.jpg/480x360.jpg
c9f510a7-d9bd-49d9-9e20-759dd87d3c6a,volvo,xc60,c,d,53900,4530,3,2218,03-2022,111.99734570714251,272,https://prod.pictures.autoscout24.net/listing-images/c9f510a7-d9bd-49d9-9e20-759dd87d3c6a_d386b183-0523-46e2-80b6-826b9e2a3476.jpg/480x360.jpg
41178485-235f-4eab-ae12-d6bf7bb97595,volvo,xc40,c,d,50750,9050,2,5600,03-2022,69.04356445356942,272,https://prod.pictures.autoscout24.net/listing-images/41178485-235f-4eab-ae12-d6bf7bb97595_0079d336-0944-426f-a2d3-a75c8783d90f.jpg/480x360.jpg
07eb71ae-e0ed-4741-82e5-2bef6563f6b3,volvo,v90,c,d,29990,2830,d,67984,10-2018,45.04397020411872,1519,https://prod.pictures.autoscout24.net/listing-images/07eb71ae-e0ed-4741-82e5-2bef6563f6b3_e7f7156b-a20e-471e-8887-0c4be43812be.jpg/480x360.jpg
9bc28961-9dc5-4780-a6ca-dfcbe5573e8c,volvo,v90,c,d,63750,9120,2,9000,11-2021,31.412557196808976,392,https://prod.pictures.autoscout24.net/listing-images/9bc28961-9dc5-4780-a6ca-dfcbe5573e8c_05ef186a-fcf5-44d0-a600-6ce4937c8c54.jpg/480x360.jpg
dbfa94c7-8eae-4d90-b37a-d10822060f88,volvo,v50,c,d,12800,3500,b,86859,07-2010,86.84432103923942,4533,https://prod.pictures.autoscout24.net/listing-images/dbfa94c7-8eae-4d90-b37a-d10822060f88_33980830-ae27-4652-aa53-0ea186d87394.jpg/480x360.jpg
90e3645a-6374-48b2-9465-5e2cab34f6f8,volvo,xc40,c,d,52999,3500,2,16866,02-2021,86.84432103923942,665,https://prod.pictures.autoscout24.net/listing-images/90e3645a-6374-48b2-9465-5e2cab34f6f8_18620375-bc7a-410e-9571-85820bd0eae9.jpg/480x360.jpg
982e37f7-d6a0-45da-867a-7f27df4440e2,volvo,xc60,c,d,69990,9120,2,30500,12-2021,31.412557196808976,362,https://prod.pictures.autoscout24.net/listing-images/982e37f7-d6a0-45da-867a-7f27df4440e2_a3338619-03e5-4b15-80df-d5d6b6790d7e.jpg/480x360.jpg
32096087-a263-4859-b864-f1af49208a5c,volvo,xc90,c,d,43950,2500,d,94775,01-2019,38.36429357421789,1427,https://prod.pictures.autoscout24.net/listing-images/32096087-a263-4859-b864-f1af49208a5c_a84d6f95-2290-4700-8330-68f115fb4fec.jpg/480x360.jpg
d47f1cc7-93be-4701-84d7-ef34e9d8da32,volvo,v60,c,d,52990,9120,2,27500,07-2020,31.412557196808976,880,https://prod.pictures.autoscout24.net/listing-images/d47f1cc7-93be-4701-84d7-ef34e9d8da32_af3ffc89-f2e6-4151-8917-f0eb803ae92a.jpg/480x360.jpg
71e78cf3-1fb4-4e56-8447-716d47f1f582,volvo,xc40,c,d,29950,8630,d,92000,06-2018,133.10832564444777,1641,https://prod.pictures.autoscout24.net/listing-images/71e78cf3-1fb4-4e56-8447-716d47f1f582_737acf40-b172-4ea3-8fa4-08187859faa0.jpg/480x360.jpg
ce54dd84-1243-49ca-85ff-40d3eaea3149,volvo,xc40,c,d,39750,9120,b,12500,12-2021,31.412557196808976,362,https://prod.pictures.autoscout24.net/listing-images/ce54dd84-1243-49ca-85ff-40d3eaea3149_7a59f425-61e9-4924-a88c-ebc6442d7dc7.jpg/480x360.jpg
5e5aa146-d9ef-46a6-a34d-3eb7d1eb2a26,volvo,xc40,c,d,54999,3500,2,22204,11-2021,86.84432103923942,392,https://prod.pictures.autoscout24.net/listing-images/5e5aa146-d9ef-46a6-a34d-3eb7d1eb2a26_5818a74a-cc80-4527-9c93-b97e083b5540.jpg/480x360.jpg
354db9b7-d9cb-421c-b90a-fe3e693b6fc2,volvo,v60,c,d,42900,2200,d,6050,09-2020,44.17776031794284,818,https://prod.pictures.autoscout24.net/listing-images/354db9b7-d9cb-421c-b90a-fe3e693b6fc2_6fa81e65-7b83-4616-b9a0-59e700a209e9.jpg/480x360.jpg
71d453d5-a8f8-420d-b9cb-945197e6348c,volvo,xc40,c,p,39950,1070,b,25000,06-2020,71.06367211068877,910,https://prod.pictures.autoscout24.net/listing-images/71d453d5-a8f8-420d-b9cb-945197e6348c_5833bc73-e7e2-4346-aadc-8e6f72809fe3.jpg/480x360.jpg
027b100c-6431-474b-89c5-68cdd2026dfa,volvo,xc90,c,d,49250,8630,d,73450,11-2018,133.10832564444777,1488,https://prod.pictures.autoscout24.net/listing-images/027b100c-6431-474b-89c5-68cdd2026dfa_e5b92a11-ee6a-40c1-8cf3-b1dbcfd1357a.jpg/480x360.jpg
ddb260bd-5b8e-4e04-870e-e740f1bc05d2,volvo,xc40,c,d,49850,8630,2,8575,05-2020,133.10832564444777,941,https://prod.pictures.autoscout24.net/listing-images/ddb260bd-5b8e-4e04-870e-e740f1bc05d2_331687ef-f317-47ad-a452-ab0ade869126.jpg/480x360.jpg
7890cb44-fc6e-43fc-8768-c7a853abb192,volvo,xc60,c,d,55900,9120,2,9998,11-2021,31.412557196808976,392,https://prod.pictures.autoscout24.net/listing-images/7890cb44-fc6e-43fc-8768-c7a853abb192_bbd6a35c-00c1-4452-a7de-f4640171081b.jpg/480x360.jpg
0ed98a4a-edf3-4666-8611-16c61e83b7ca,volvo,v60,c,d,32750,8800,d,120000,07-2019,107.24415982689398,1246,https://prod.pictures.autoscout24.net/listing-images/0ed98a4a-edf3-4666-8611-16c61e83b7ca_228c1cee-531a-4db0-b142-afb54b79bfad.jpg/480x360.jpg
d7cc0360-8ac6-4de9-bfff-46eb2852b1cb,volvo,xc60,c,d,27900,8200,d,126380,03-2017,93.81651363169982,2098,https://prod.pictures.autoscout24.net/listing-images/d7cc0360-8ac6-4de9-bfff-46eb2852b1cb_61ff7d90-4753-4dda-9ec9-bb7983b0f171.jpg/480x360.jpg
2e0c1340-594f-49c6-acce-655bbbc6ff16,volvo,xc60,c,d,34950,8200,d,66859,06-2019,93.81651363169982,1276,https://prod.pictures.autoscout24.net/listing-images/2e0c1340-594f-49c6-acce-655bbbc6ff16_bc3c4757-00c3-4659-a806-e1d76a0e07ce.jpg/480x360.jpg
dab3d60f-57b7-43de-b3b5-05bac64bbf6e,volvo,xc90,c,d,54750,9120,d,44625,07-2019,31.412557196808976,1246,https://prod.pictures.autoscout24.net/listing-images/dab3d60f-57b7-43de-b3b5-05bac64bbf6e_fbf166b5-f675-437e-af01-938e90ec62bd.jpg/480x360.jpg
cb3dcd35-e733-4ef1-a3c2-02cfd831064b,volvo,v90 cross country,c,p,28000,7090,d,117000,10-2017,96.30849119801513,1884,https://prod.pictures.autoscout24.net/listing-images/cb3dcd35-e733-4ef1-a3c2-02cfd831064b_0d95d187-c1ca-4f59-9219-c918cad59ed7.jpg/480x360.jpg
4377f2df-890b-49b8-b056-16d468812eb9,volvo,v40,c,d,14500,8400,d,117000,02-2017,110.03239888716801,2126,https://prod.pictures.autoscout24.net/listing-images/4377f2df-890b-49b8-b056-16d468812eb9_020da973-c079-4fe0-98a3-49ea14de20bc.jpg/480x360.jpg
34ce8970-711a-4400-9dc6-bc47c989d0ec,volvo,v90,c,d,45900,9050,2,70000,02-2019,69.04356445356942,1396,https://prod.pictures.autoscout24.net/listing-images/34ce8970-711a-4400-9dc6-bc47c989d0ec_5d40ce15-bbd7-4e74-bb14-18927c39bc10.jpg/480x360.jpg
311467c7-9229-4635-add5-13dddb829ad3,volvo,s60,c,d,19250,8630,d,79600,08-2017,133.10832564444777,1945,https://prod.pictures.autoscout24.net/listing-images/311467c7-9229-4635-add5-13dddb829ad3_9a45ea47-b72b-43df-89fa-f6e2450cbe5c.jpg/480x360.jpg
